Start_Date,End_Date,Carrier_clean,Volume_Bus,Volume_Passenger
2021-06-14,2021-06-18,decamp,16.0,87.0
2021-06-14,2021-06-18,greyhound,52.0,1477.0
2021-06-14,2021-06-18,hceecommunity,95.0,1346.0
2021-06-14,2021-06-18,lakeland,19.0,480.0
2021-06-14,2021-06-18,martz,15.0,613.0
2021-06-14,2021-06-18,njtransit,2188.0,39437.0
2021-06-14,2021-06-18,peterpanbonanza,21.0,674.0
2021-06-14,2021-06-18,trailways,17.0,426.0
2021-06-14,2021-06-18,transbridge,13.0,440.0
2021-06-21,2021-06-25,academy,36.0,789.0
2021-06-21,2021-06-25,cjbuslines,0.0,0.0
2021-06-21,2021-06-25,coachusa,91.0,2347.0
2021-06-21,2021-06-25,decamp,16.0,118.0
2021-06-21,2021-06-25,greyhound,55.0,1535.0
2021-06-21,2021-06-25,hceecommunity,94.0,1448.0
2021-06-21,2021-06-25,lakeland,19.0,505.0
2021-06-21,2021-06-25,martz,16.0,635.0
2021-06-21,2021-06-25,njtransit,2215.0,39951.0
2021-06-21,2021-06-25,peterpanbonanza,30.0,855.0
2021-06-21,2021-06-25,trailways,17.0,428.0
2021-06-21,2021-06-25,transbridge,14.0,465.0
2021-06-28,2021-07-02,academy,36.0,923.0
2021-06-28,2021-07-02,cjbuslines,0.0,0.0
2021-06-28,2021-07-02,coachusa,92.0,2363.0
2021-06-28,2021-07-02,decamp,16.0,132.0
2021-06-28,2021-07-02,greyhound,60.0,1819.0
2021-06-28,2021-07-02,hceecommunity,94.0,1448.0
2021-06-28,2021-07-02,lakeland,20.0,512.0
2021-06-28,2021-07-02,martz,17.0,669.0
2021-06-28,2021-07-02,njtransit,2126.0,39282.0
2021-06-28,2021-07-02,peterpanbonanza,31.0,1102.0
2021-06-28,2021-07-02,trailways,17.0,479.0
2021-06-28,2021-07-02,transbridge,14.0,454.0
2021-07-05,2021-07-09,academy,35.0,778.0
2021-07-05,2021-07-09,cjbuslines,0.0,0.0
2021-07-05,2021-07-09,coachusa,94.0,2459.0
2021-07-05,2021-07-09,decamp,16.0,155.0
2021-07-05,2021-07-09,greyhound,61.0,1850.0
2021-07-05,2021-07-09,hceecommunity,93.0,1437.0
2021-07-05,2021-07-09,lakeland,20.0,543.0
2021-07-05,2021-07-09,martz,18.0,686.0
2021-07-05,2021-07-09,njtransit,2126.0,39100.0
2021-07-05,2021-07-09,peterpanbonanza,34.0,1262.0
2021-07-05,2021-07-09,trailways,19.0,492.0
2021-07-05,2021-07-09,transbridge,14.0,480.0
2021-07-12,2021-07-16,academy,35.0,843.0
2021-07-12,2021-07-16,cjbuslines,0.0,0.0
2021-07-12,2021-07-16,coachusa,95.0,2630.0
2021-07-12,2021-07-16,decamp,16.0,188.0
2021-07-12,2021-07-16,greyhound,61.0,1850.0
2021-07-12,2021-07-16,hceecommunity,93.0,1437.0
2021-07-12,2021-07-16,lakeland,20.0,557.0
2021-07-12,2021-07-16,martz,17.0,670.0
2021-07-12,2021-07-16,njtransit,2135.0,40256.0
2021-07-12,2021-07-16,peterpanbonanza,34.0,1262.0
2021-07-12,2021-07-16,trailways,17.0,421.0
2021-07-12,2021-07-16,transbridge,14.0,467.0
2021-07-19,2021-07-23,academy,35.0,869.0
2021-07-19,2021-07-23,cjbuslines,0.0,0.0
2021-07-19,2021-07-23,coachusa,99.0,2716.0
2021-07-19,2021-07-23,decamp,16.0,194.0
2021-07-19,2021-07-23,greyhound,58.0,1685.0
2021-07-19,2021-07-23,hceecommunity,89.0,1455.0
2021-07-19,2021-07-23,lakeland,20.0,579.0
2021-07-19,2021-07-23,martz,17.0,704.0
2021-07-19,2021-07-23,njtransit,2097.0,39440.0
2021-07-19,2021-07-23,peterpanbonanza,25.0,819.0
2021-07-19,2021-07-23,trailways,17.0,451.0
2021-07-19,2021-07-23,transbridge,15.0,495.0
2021-07-26,2021-07-30,academy,35.0,872.0
2021-07-26,2021-07-30,cjbuslines,0.0,0.0
2021-07-26,2021-07-30,coachusa,101.0,2776.0
2021-07-26,2021-07-30,decamp,16.0,189.0
2021-07-26,2021-07-30,greyhound,59.0,1672.0
2021-07-26,2021-07-30,hceecommunity,94.0,1530.0
2021-07-26,2021-07-30,lakeland,20.0,578.0
2021-07-26,2021-07-30,martz,17.0,680.0
2021-07-26,2021-07-30,njtransit,2080.0,40047.0
2021-07-26,2021-07-30,peterpanbonanza,25.0,770.0
2021-07-26,2021-07-30,trailways,17.0,468.0
2021-07-26,2021-07-30,transbridge,15.0,484.0
2021-08-02,2021-08-06,academy,36.0,869.0
2021-08-02,2021-08-06,cjbuslines,0.0,0.0
2021-08-02,2021-08-06,coachusa,102.0,2740.0
2021-08-02,2021-08-06,decamp,16.0,198.0
2021-08-02,2021-08-06,greyhound,60.0,1724.0
