Start_Date,End_Date,Carrier_clean,Volume_Bus,Volume_Passenger
17/05/21,21/05/21,coachusa,84,1929
17/05/21,21/05/21,decamp,0,0
17/05/21,21/05/21,greyhound,43,1277
17/05/21,21/05/21,hceecommunity,88,1322
17/05/21,21/05/21,lakeland,14,374
17/05/21,21/05/21,martz,14,541
17/05/21,21/05/21,njtransit,2118,33781
17/05/21,21/05/21,peterpanbonanza,24,740
17/05/21,21/05/21,trailways,13,405
17/05/21,21/05/21,transbridge,12,399
24/05/21,28/05/21,academy,36,699
24/05/21,28/05/21,cjbuslines,0,0
24/05/21,28/05/21,coachusa,86,2003
24/05/21,28/05/21,decamp,0,0
24/05/21,28/05/21,greyhound,51,1492
24/05/21,28/05/21,hceecommunity,88,1322
24/05/21,28/05/21,lakeland,14,395
24/05/21,28/05/21,martz,15,570
24/05/21,28/05/21,njtransit,2245,34615
24/05/21,28/05/21,peterpanbonanza,21,619
24/05/21,28/05/21,trailways,15,409
24/05/21,28/05/21,transbridge,12,426
31/05/21,04/06/21,academy,36,763
31/05/21,04/06/21,cjbuslines,0,0
31/05/21,04/06/21,coachusa,87,2076
31/05/21,04/06/21,decamp,0,0
31/05/21,04/06/21,greyhound,54,1494
31/05/21,04/06/21,hceecommunity,88,1322
31/05/21,04/06/21,lakeland,14,403
31/05/21,04/06/21,martz,15,573
31/05/21,04/06/21,njtransit,2238,35698
31/05/21,04/06/21,peterpanbonanza,27.4,785
31/05/21,04/06/21,trailways,16,398
31/05/21,04/06/21,transbridge,12,421
07/06/21,11/06/21,academy,36,763
07/06/21,11/06/21,cjbuslines,0,0
07/06/21,11/06/21,coachusa,90,2172
07/06/21,11/06/21,decamp,0,0
07/06/21,11/06/21,greyhound,51,1384
07/06/21,11/06/21,hceecommunity,96,1446
07/06/21,11/06/21,lakeland,19,445
07/06/21,11/06/21,martz,15,610
07/06/21,11/06/21,njtransit,2261,35636
07/06/21,11/06/21,peterpanbonanza,21,570
07/06/21,11/06/21,trailways,15,363
07/06/21,11/06/21,transbridge,13,409
14/06/21,18/06/21,academy,36,792
14/06/21,18/06/21,cjbuslines,0,0
14/06/21,18/06/21,coachusa,91,2306
14/06/21,18/06/21,decamp,16,87
14/06/21,18/06/21,greyhound,52,1477
14/06/21,18/06/21,hceecommunity,95,1346
14/06/21,18/06/21,lakeland,19,480
14/06/21,18/06/21,martz,15,613
14/06/21,18/06/21,njtransit,2188,39437
14/06/21,18/06/21,peterpanbonanza,21,674
14/06/21,18/06/21,trailways,17,426
14/06/21,18/06/21,transbridge,13,440
21/06/21,25/06/21,academy,36,789
21/06/21,25/06/21,cjbuslines,0,0
21/06/21,25/06/21,coachusa,91,2347
21/06/21,25/06/21,decamp,16,118
21/06/21,25/06/21,greyhound,55,1535
21/06/21,25/06/21,hceecommunity,94,1448
21/06/21,25/06/21,lakeland,19,505
21/06/21,25/06/21,martz,16,635
